---------------------------------------茶叶-----------------------------------------
高淳县庙岗茶叶专业合作社    18751836554    刘为民 
南京涗茗堂茶叶贸易有限公司    18651818577    陈红 
南京晓照新芽茶叶种植专业合作社    13814178511    赵大荣 
南京市六合区枫平茶叶专业合作社    025-57695195    马其昌 
南京市浦口区大春茶叶专业合作社    025-58175240    古宏军 
南京市六合区三友湖有机茶叶专业合作社    13813037809    朱恒昱 
高淳县穆家庄君山茶叶专业合作社    13912914516    王龙伢 
南京市六合区竹镇金磁茶叶专业合作社    13913321295    李长征 
南京市六合区东沟白马山茶叶专业合作社    025-57640071    杨金宽 
南京市江宁区安民茶叶种植专业合作社    18905168672    马祥友 
南京市六合区竹镇镇石婆茶叶专业合作社    15996409398    黄兆升 
南京平山茶叶有限公司翠平销售中心    025-57121459    刘正军 
南京市江宁区羊库茶叶专业合作社    13921409578    于华胜 
南京市六合区竹镇镇侯桥茶叶专业合作社    13921411523    丁春云 
南京市溧水区桃花墩茶叶种植专业合作社    13585137201    倪春香 
南京市江宁区红杨树茶叶专业合作社    13851508026    王宜民 
南京市六合区庄平茶叶专业合作社    13151596689    任足舟 
南京市六合区秀金茶叶专业合作社    13921418293    陆秀金 
南京市六合区瓜埠山茶叶专业合作社    025-57199621    胡俊 
南京市六合区夏李茶叶专业合作社    13952051892    李加山 
高淳县桠溪镇华洋茶叶种植专业合作社    13913377788    杨雪平 
南京市六合区竹镇镇香茶山茶叶专业合作社    13913352618    赵定祥 
南京市六合区和仁茶叶专业合作社    025-57530124    秦礼标 
高淳县桠溪镇豪萱茶叶植保专业合作社    13905151315    周陆军 
南京市六合区皓纬茶叶专业合作社    18114492059    唐翠霞 
南京市六合区竹镇镇乌香源茶叶专业合作社    13814046046    秦家军 
南京市六合区冶山镇双墩茶叶专业合作社    13813028506    涂金瑞 
南京市六合区金牛湖街道成永茶叶专业合作社    18936022860    朱成永 
南京市六合区金牛湖街道润平茶叶专业合作社    025-57115096    陈爱平 
苏州三万昌茶叶有限公司南京分公司    025-84726966    吴丽娟 
高淳县桠溪镇茶叶示范场精制茶厂    15951031059    赵林富 
南京龙霸茶叶专业合作社龙泉分社    13705194196    金贤凤 
南京新街口百货商店股份有限公司    025-84715188    杨怀珍 
南京云田网络科技股份有限公司    13851745607    焦大庆 
南京茶僷羊文化传播有限公司    15051888006    叶杨 
江苏享佳健康科技股份有限公司    15077822680    肖俊方 
南京下关茶叶城高淳茶叶直销处    13815417117    吴塘美 
南京下关茶叶城张道胜茶叶批发部    13851977158    张道胜 
南京溧峰茶业集团有限公司    025-57250118    曹成清 
南京市秦淮区大有茶叶店    13915961232    施蕾 
南京市秦淮区张梓胜茶叶店    13512536069    张梓胜 
南京市秦淮区俞时良茶叶店    158505063901    俞时良 
南京市六合区宁杭茶叶店    13915947153    刘佳 
南京市秦淮区明荣茶叶店    13851613671    程玉明 
南京市栖霞区许成飞茶叶经营部    13585206727    许成飞 
南京市秦淮区俞乃矿茶叶店    025-84595010    俞乃矿 
南京市溧水区屏华茶叶经营部    13057650351    邹庆华 
南京潘斗红茶叶店    18761872006    潘斗红 
南京市秦淮区云芝茶叶陶瓷经营部    025-84548638    李云芝 
南京老方茶叶店    13151066181    方宏华 
南京小叶茶叶店    13585195045    叶爱荣 
南京市秦淮区强彩秀茶叶经营部    13151577819    强彩秀 
南京小李茶叶店    18913915277    李高炎 
南京市秦淮区金坛茅麓茶叶经销店    13851988178    张宁 
南京原谷生态农业有限公司    18602515437    谢晨光 
南京云峰茶叶店    025-84454882    洪圣明 
南京徐记茶叶店    13016984076    徐学东 
南京爱华茶叶店    15005153109    汤少华 
南京茶品茶叶经营部    13601466138    李乃东 
南京春艺茶叶店    18252098886    伍爱荣 
南京宝华茶叶经营部    13245844191    毛生萍 
南京方美茶叶商店    13151553369    方基美 
南京闽南茶叶经营部    15951827999    陆上富 
南京市栖霞区俞梅新茶叶店    15295552133    俞梅新 
南京兴发茶叶经营部    025-84454882    程志树 
南京雅尊茶叶批发中心    13022501050    俞旺 
南京雨良茶叶店    18913960890    严存女 
南京钟记茶叶店    13912983091    钟立红 
江苏莱斯电子商务有限公司    025-68206833    袁顾明 
南京乐燕茶叶店    025-85360862    章荣树 
南京福香茶叶店    13585124885    钟立新 
南京宁雨茶叶店    025-52441486    胡建玲 
南京龙尖茶叶店    025-86403403    江美仙 
南京百福源茶叶店    13675118198    王松 
南京翠茗茶叶店    025-83287702    李海龙 
南京江宁美丽乡村建设开发集团有限公司    15850645098    费盛忠 
南京双子茶叶经营部    13357731248    强双子 
南京古香茶叶经营部    13913905795    方永林 
南京林氏茶叶经营部    13851921055    林跃登 
南京翠兰茶叶经营部    13770928768    田翠兰 
南京有志茶叶经营部    13813857586    桂有志 
南京宁蕙话禾食品有限公司    15651878186    刘可凝 
南京云明茶叶经营部    13913829489    盛明军 
南京市秦淮区一叶一茶茶叶店    18913354667    曾荟 
南京市一道茗茶茶叶销售中心    13222007008    刘朝凯 
南京百盛茶叶经营部    13016979085    沈国辉 
南京丁山茶叶经营部    13813953555    许丁山 
南京金德泰茶叶经营部    18951746019    花钰蓉 
南京红梅茶叶经营部    13805181897    左国兵 
南京市高淳区魏晋良茶叶种植家庭农场    13913855828    魏晋良 
南京富荣茶叶销售中心    13770985998    王台成 
南京市玄武区杨金霞茶叶店    15161453735    杨金霞 
南京市栖霞区一枝春茶叶店    13913032381    徐升会 
南京市栖霞区郭道菊茶叶店    15850779476    郭道菊 
南京市建邺区许义兰茶叶店    15305141745    许义兰 
南京市玄武区茶益轩茶叶店    13915980300    花春兰 
南京市六合区泉盛茶叶店    15366020777    唐国策 
南京市建邺区刘尚英茶叶经营部    18305189860    刘尚英 
南京市江宁区倪万萍茶叶经营部    13951980671    柳万萍 
南京市雨花台区小刘茶叶店    025-52812529    刘宏卫 
南京市栖霞区徐家库茶叶店    13851643305    徐家库 
南京市秦淮区祥安茶茶叶销售中心    13382407290    王煜 
南京市栖霞区桂永志茶叶店    13915995187    桂永志 
南京市栖霞区宋其文茶叶店    13951787793    宋其文 
南京市雨花台区杨弘锟茶叶经营部    18602505499    杨弘锟 
南京市雨花台区张以军茶叶店    13913023905    张以军 
南京市雨花台区杜荣富茶叶店    15851813959    杜荣富 
南京市雨花台区金枝玉叶茶叶经营部    18951800555    陈金友 
南京市栖霞区徐彩美茶叶店    15850503901    徐彩美 
南京市鼓楼区云水茶叶店    13809022737    肖浩 
南京市雨花台区黄华娥茶叶店    13512513635    黄华娥 
南京市雨花台区刘传美茶叶经营部    13451866090    刘传美 
南京市栖霞区俞月泉茶叶店    13851498824    俞月泉 
南京市鼓楼区绿春名茶茶叶经营部    18551767345    吴金春 
南京市雨花台区御景苑茶叶店    18913877776    刘少梅 
南京市雨花台区陈强茶叶茶具销售中心    13382038866    陈强 
高淳县固城镇春财茶叶种植场    135851600307    赵春财 
南京市六合区亿彬茶叶茶具店    18913027918    林志明 
南京市鼓楼区昌忠茶叶经营部    15951885501    高昌忠 
南京市建邺区任立贵茶叶店    13951736772    任立贵 
南京市江宁区德旺茶叶包装经营部    13921409578    孔德旺 
南京市雨花台区能仁里茶叶店    13913023905    张以军 
南京市玄武区御茶园茶叶销售中心    15205155833    徐旋洁 
南京市下关区心友茶叶经营部    025-58823678    吴孟艺 
南京市江宁区金绿叶茶叶经营部    13905192200    程杨 
南京市栖霞区先明茶叶经营部    13915909110    章珍云 
南京市鼓楼区清贞茶叶批发部    13851641371    张明阳 
南京市六合区德厚天茶叶店    13813952183    秦声明 
南京市江宁区孔三美茶叶销售部    13327828679    孔三美 
南京市建邺区叶茂鲜茶叶销售中心    15259087777    王兴国 
南京市雨花台区茗龙香茶叶店    13851615869    俞玉新 
南京市建邺区久源茶叶经营部    13601456991    汤元胜 
南京市江宁区清阁茶叶店    15895953556    吕凤春 
南京市江宁区晨颖茶叶服务站    13182939797    刘金萍 
南京市浦口区一把茶叶店    13801587953    赵庆翠 
南京市高淳区芮记茶叶店    13601436562    张开荣 
南京市秦淮区陆家茶茶叶销售中心    15951827999    陆上富 
南京市建邺区槚益茶叶店    13851885777    张元园 
南京市六合区棠城茶叶店    025-57182222    强强 
南京市雨花台区朝林茶叶经营部    13057612404    吕朝林 
南京市江宁区永雪茶叶店    15251771443    杨永雪 
南京市鼓楼区茗乐茶叶经营部    13913930096    马乐 
南京市江宁区占魁茶叶店    15651988999    吴建丁 
南京市江宁区碧九茶叶店    13776551189    伍友兵 
高淳县淳溪镇木兰茶叶铺    13813069318    丁木兰 
南京市建邺区再红茶叶店    13951624458    徐芳芳 
高淳县阳江镇训涛茶叶店    13912919945    史训涛 
南京市六合区先林茶叶经营部    15805144043    徐先来 
南京市江宁区传韵茶叶店    13675119830    张凤 
南京市江宁区枝花茶叶店    025-52774697    秦枝花 
南京市浦口区明喜茶叶店    13921426553    吴明喜 
高淳县东坝镇旺梅茶叶店    13770874568    宋旺梅 
南京市下关区红平茶叶经营部    13584016219    廖红平 
南京市江宁区净茗茶叶店    13951967517    宋文仙 
南京市建邺区胡成贵茶叶经营部    15996453987    胡成贵 
南京市建邺区杨玉芳茶叶经营部    13851443266    杨玉芳 
南京市下关区农发茶叶批发部    15601586201    查钱珍 
南京市江宁区强昌伦茶叶店    13776570341    强昌伦 
南京市江宁区麒香苑茶叶店    13072536354    蒋涛涛 
南京市建邺区宏泉茶叶店    13913884038    林海发 
南京市六合区鸿品茶叶店    15851887779    刘玉芳 
南京市江宁区富富茶叶店    13584073354    强昌富 
南京市鼓楼区艾和平茶叶店    13913974088    艾和平 
南京市玄武区桂鑫茶叶店    15190499939    桂鑫 
南京市江宁区小桂茶叶店    18913047805    桂万凤 
南京市秦淮区强光照茶叶店    13400079247    强光照 
南京市玄武区皇州茶叶店    13401979789    吴小林 
南京市玄武区弘七茶叶店    13851548508    王兰 
南京市建邺区淑尊茶叶店    18951817188    吴象霞 
南京市建邺区道然茶叶店    13915988872    王艺宾 
南京市建邺区庆风茶叶店    18913382356    陈庆凤 
南京市江宁区大胡茶叶店    13776568373    胡中金 
南京市下关区杜府茶叶经营部    13705169979    杜豪 
南京市江宁区其贵茶叶店    13776569236    赵其贵 
高淳县淳溪镇荣华茶叶店    13851806703    孔荣华 
南京市江宁区淑艳茶叶商行    15996272799    冯淑艳 
南京市建邺区极白茶叶销售中心    18805142789    张道余 
南京市江宁区山涧泉茶叶经营部    13062510203    李可忠 
南京市建邺区郑关夫茶叶销售中心    13912974857    郑关夫 
南京市雨花台区臻聚茶叶销售中心    13813818597    宋臻臻 
南京市六合区峰雅茶叶店    13585156157    高山林 
南京市鼓楼区茶礼慢生活茶叶经营部    13813847892    程芳 
南京市雨花台区皖福山茶叶经营部    13003412218    杨才玉 
南京市溧水区畅森茶叶店    025-02161851000    李海云 
南京市栖霞区秋旭茶叶店    13512544292    邱海连 
南京市建邺区宝茗茶叶店    13801581820    马玲 
南京市玄武区逸品道茶叶店    15195755578    袁勇 
南京市建邺区传佳音茶叶经营部    13770820818    谢超 
南京市建邺区五蕴堂茶叶经营部    15005151888    曾辉华 
南京市浦口区宝春茶叶店    13851966963    张思海 
南京市秦淮区怡馨堂茶叶店    18901592696    杨斌 
南京市江宁区曦水居茶叶店    13776559366    张春梅 
南京市秦淮区宝壶斋茶叶店    13675133555    王东兵 
南京市建邺区杨建强茶叶销售中心    13914714436    杨建强 
南京市玄武区溪寂斋茶叶店    13952034367    王雁 
南京市江宁区沁茗阁茶叶店    13382000586    颜云 
南京市浦口区可清茶叶经营部    13951991889    张可清 
南京市下关区欣芸茶叶经营部    13770610365    顾俊祥 
南京市栖霞区强成韦茶叶店    15996244258    强成韦 
南京市六合区观韵阁茶叶店    15969322527    黄福气 
南京市秦淮区小桂茶叶批发部    13914712953    章新兰 
南京市江宁区雅玫茶叶经营部    15951720622    许梅莉 
高淳县淳溪镇善凤茶叶店    025-57333857    赵善凤 
南京市建邺区茗也师茶叶销售中心    18020106377    林烨 
南京市鼓楼区绍红茶叶经营部    15312088583    朱绍红 
南京市六合区沁香韵茶叶店    13959738773    陈福安 
南京市鼓楼区茗津茶叶经营部    13405809902    翁培坤 
南京市江宁区强昌富茶叶店    15190458735    强昌富 
南京市雨花台区王三汉茶叶店    13073455319    王三汉 
南京市六合区烽之韵茶叶店    13636933518    陈传忠 
南京建邺区孔秋前茶叶经营部    13072582838    孔秋前 
南京市玄武区瑞会居茶叶店    13584055682    彭会林 
南京市下关区陆福茶叶经营部    15150563810    张红 
南京市下关区祥芸茶叶经营部    13770613373    顾俊祥 
南京市栖霞区琪茗轩茶叶店    17302596564    季国胜 
南京市浦口区强克富茶叶店    13451861599    强克富 
南京市雨花台区强志龙茶叶销售中心    13776682038    强志龙 
南京市下关区美云茶叶销售中心    13770934733    吴美云 
南京市江宁区雾里香茶叶店    025-123456    强爱苹 
高淳县砖墙镇港口泉泉茶叶店    13327717508    李泉泉 
南京市雨花台区苏品春茶叶销售中心    13605153778    赵青华 
南京市下关区云雾山茶叶经营部    17751041319    宗德超 
南京市下关区品铁茶叶销售部    13914743636    陈雅晖 
南京市秦淮区建香茶叶销售部    13951825770    杨健 
南京市玄武区与原茶叶经营部    13813812540    张爱莲 
南京市下关区陆茗茶叶经营部    13032559401    蔡祖陆 
南京市栖霞区章连宝茶叶店    13914726678    章连宝 
南京市浦口区俊阳茶叶经营部    13855391928    潘志刚 
南京市浦口区天永茶叶经营部    025-58464342    曾永毅 
南京市下关区亿汀茶叶销售中心    13813850091    马宗琴 
南京市秦淮区品韵汇茶叶经营部    18951820123    黄大丰 
南京市秦淮区纪雷雨茶叶经营部    15250990981    纪雷雨 
南京市江宁区溢香茶叶经营部    13921402435    王宜香 
南京市江宁区光瑜茶叶经营部    18952014787    强光瑜 
南京市江宁区桂万芽茶叶店    13814104327    桂万芽 
南京市江宁区火龙山茶叶经营部    13951691398    刘军 
南京市下关区成贵茶叶批发部    18602565065    胡成贵 
南京市鼓楼区深慧茶叶经营部    15951894517    朱克深 
南京市浦口区升美茶叶经营部    13851569116    苏雪宁 
南京市江宁区云丹茶叶经营部    15852928728    徐开金 
南京市建邺区烈斌茶叶经营部    13813952158    李烈斌 
南京市建邺区徐绯茶叶经营部    13382038866    徐绯 
南京市雨花台区优道茶叶经营部    13605140487    孙莉莉 
南京白龙有机农业科技开发有限公司    02584624077    邱进 
南京市下关区关英茶叶经营部    13072565176    李关英 
南京市下关区春茗茶叶经营部    13851891532    沈丽霞 
南京市江宁区宁高茶叶销售中心    13851538268    孔建华 
南京市建邺区香满庭茶叶商行    13951998552    王金保 
南京市秦淮区菊韵茶叶经营部    18913931569    张礼菊 
南京市建邺区余军兵茶叶经营部    13584013969    余军兵 
南京市建邺区卢明录茶叶经营部    15380821118    卢明录 
南京市高淳区多凤茶叶经营部    13062535823    周多凤 
南京市六合区杭欣茶叶经营部    13915947153    刘佳 
南京市鼓楼区丰韵香茶叶销售部    13951828862    陈招腾 
南京市鼓楼区文仙茶叶经营中心    13584034898    王从文 
南京市秦淮区龙池山茶叶经营部    13915982485    周佰强 
南京市建邺区杜邑兴茶叶店    13851637657    杜邑兴 
南京市建邺区佳缘阁茶叶经营部    13770991168    黄小林 
高淳县淳溪镇吴氏茶叶批发部    15951692729    吴祥国 
南京市浦口区查氏茶叶经营部    025-58282838    查敦玉 
南京市建邺区建敏茶叶经营部    15951850635    吴建敏 
南京市建邺区祥珍茶叶经营部    15295528548    陈火金 
南京市雨花台区春泰茶叶经营部    15051889580    张翔 
南京市秦淮区苏鸿汇景北路茶叶店    13057566868    郭庆念 
南京市建邺区沁中福茶叶销售中心    15850719215    赵文才 
南京市江宁区柏雾茶叶经营部    18061601919    许良宏 
南京市高淳区徐琼花茶叶经营部    18652083229    徐琼花 
南京市玄武区品兰汐茶叶经营部    15150562961    詹凤兰 
南京市鼓楼区茗羽茶叶经营部    17751041319    宗鸣鸣 
南京市建邺区苇龙茶叶经营部    18761643766    张二美 
南京市下关区杨氏茶叶包装销售中心    13851479888    杨后启 
南京市建邺区王勉茶叶销售中心    13675139386    王勉 
南京市建邺区罗清香茶叶经营部    13770635588    罗清香 
南京市江宁区瑞沨茶叶销售中心    13057622217    朱亚明 
南京太平购物中心有限责任公司    025-51806565    陈晓明 
南京市建邺区腊木嘉茶叶经营部    13072582838    沈京华 
南京市江宁区福音山茶叶经营部    13057747888    林时炭 
南京市栖霞区香得韵茶叶批发部    18913855696    肖炳顺 
南京市雨花台区铁心茶叶经营部    13851490456    蔡有兴 
南京市栖霞区瑞源祥茶叶销售中心    15295577055    林鑫田 
南京市雨花台区馥盛茶叶经营部    13913829489    盛明军 
南京市建邺区缥沫茶叶销售中心    15850629588    殷民 
南京市雨花台区万辰茶叶销售中心    13057622217    朱光萍 
南京市建邺区杨凤连茶叶经营部    13072582838    杨凤连 
南京市江宁区福亭茶叶销售中心    15195896065    常培培 
南京市六合区贵天下茶叶经营部    13908546263    陈元安 
南京市江宁区宁星茶叶经营部    13951638713    程扣所 
南京市栖霞区章百乐茶叶经营部    13072595862    章百乐 
南京市建邺区闽福寿茶叶经营部    13776623999    李吓玉 
南京市高淳区小芮茶叶经营部    13770876162    张贵木 
南京华联商厦服饰有限责任公司    025-58551859    陈晓明 
南京茗沁源农业科技有限公司    13951658555    张国樑 
南京浦丰种植专业合作社    025-58252912    马福琴 
南京永乐旅游度假有限公司    025-52777080    陈小玲 
南京苏夏药材种植专业合作社    13072502198    徐敦盛 
铁尼（南京）电子科技有限公司    025-86608401    程鹏旭 
南京宝孚赢商贸有限公司    18914751021    孟鹏宇 
南京金菲华食品有限责任公司    025-85096807    李国忠 
南京佩佩种植专业合作社    13705194962    董宜海 
南京松彩农产品专业合作社    15951003615    叶京奎 
南京融点食品科技有限公司    025-57889928    蒋艾青 
南京溧水根丰果品专业合作社    15051858596    周莉莉 
江苏庆丰园现代农业发展有限公司    13305186878    张敏 
南京淳青茶业有限公司    13952079082    刘长青 
江苏正果以诺食品有限公司    18905195555    柳春州 
南京溧水瑞丰果蔬专业合作社    13805198089    汤荣胜 
南京晶人街国际贸易有限公司    025-82260058    黄四宝 
南京金鹤苑生态农业有限公司    15951082135    马毓鹏 
南京清修蔬菜种植农地股份专业合作社    13913905030    杨成贵 
南京大峰生态农业有限公司    15335176836    赵军 
南京兴良汇贸易发展有限公司    025-66609317    陈敏 
高淳县固垄农地股份合作社    025-57843237    芮雪华 
江苏博茶农业科技发展有限公司    025-58320458    许多 
南京鸿恒农业科技发展有限公司    18013899191    滕宏桂 
江苏海峡茶业发展有限公司    13222059888    林肖财 
南京溧水天生文化影视传媒有限公司    025-56230023    陶勇 
溧水县百健果蔬专业合作社    025-68811728    薛生伢 
南京瑶田园艺发展有限公司    025-68617739    倪杨云 
高淳县振农农地股份合作社    18952077182    魏爱华 
南京溧水牧乐农产品专业合作社    025-68577275    陈培绕 
南京屋里厢伴手礼农业有限公司    13770905557    杨建安 
南京市六合区东沟林场    025-57640071    李正海 
南京春主题农业发展有限公司    13851561628    王薇 
南京华春茶业专业合作社    13851861777    陈华春 
南京丰泽农业发展有限公司    15851878710    徐耀琴 
南京甘西农产品农地股份专业合作社    15850650560    韩和年 
南京近远堂艺术文化有限公司    13813815574    周春晓 
南京顺通副食品有限公司    18936878927    常勤春 
南京嘉叶缘百货贸易有限公司    13357804058    张伯钦 
溧水中鼎泰果蔬专业合作社    13803866815    端木义兵 
南京牧龙果树种植专业合作社    13770538388    宣道林 
南京乐昊生态农业科技有限公司    13073403311    殷宏富 
南京新浩叶园林绿化工程有限公司    18136485608    朱香香 
南京宁郎农业开发有限公司    025-86106048    陶怀宝 
南京牛首山林场实业有限公司    025-81031338    吴静 
高淳县壮志农地股份合作社    025-757839709    施益兵 
南京市江宁区禄口街道石埝水稻种植土地专业合作社    025-86194253    刘宝玉 
南京秦家边苗木种植专业合作社    15850788889    张垒 
南京市江宁区茂旺苗木园林有限公司    13905533087    张军 
高淳县荆塘农地股份合作社    18913373543    芮行斌 
南京新华书店有限责任公司    025-84720344    葛骏 
高淳县墙围农地股份合作社    18260083506    徐孝华 
南京溧水玉梅花卉专业合作社    18005198999    秦庆 
南京南帮商号茶业开发有限公司    13675187899    李新兰 
南京宝生源果蔬专业合作社    13813975922    李德慧 
南京龙盈水产养殖专业合作社    13245262777    罗德明 
南京银露电力安装有限公司    18118839767    黄晨露 
南京傅家边林果专业合作社    025-68811729    俞祖凯 
南京溧水中植经济林果专业合作社    18114927005    朱青 
江苏怡家乐旅游管理有限公司    13951639320    杨飞 
南京市溧水区景山秸秆专业合作社    025-5295228    王军 
南京汇智万康科技有限公司    13951736477    马春光 
南京市溧水区泥腿子苗木专业合作社    18761827788    杨小俊 
南京厨逸食品商贸有限公司    13301583080    蔡国水 
江苏简道贸易有限公司    13951871679    付艳红 
高淳县花台农地股份合作社    13182957260    赵立兵 
南京强悦生态农业科技开发有限公司    13801587953    王宗英 
江苏宏博酒店管理有限公司    18951648180    韩红伟 
南京后塘苗木农地股份专业合作社    025-84919695    潘福林 
南京顾上农业专业合作社    13814125809    焦海 
南京谷峰餐饮管理有限公司    13301581799    郭峰 
南京溧水天堂蔬果专业合作社    15150609777    姜小三 
江苏钉财资产管理有限公司    025-84078801    孙美琴 
南京雪松茶业有限公司    025-68818803    李松 
南京协众农作物种植专业合作社    13951841465    王晓明 
南京市溧水区曹荣祥果蔬专业合作社    13851919288    曹荣祥 
南京龙秦食品商贸有限公司    18912952958    吴立水 
江苏富德易企业管理咨询有限公司    17705150977    蔡永馨 
南京恒大酒店有限公司    025-57208888    朱二海 
南京纳福文化传媒有限公司    13951700641    徐惠 
南京铁路电子仪器厂    025-58828745    王争鸣 
南京微研网络科技有限公司    025-69838205    陈先东 
南京溧水明日苗木种植专业合作社    13372017375    尚双生 
南京市江宁区埂方苗木种植土地专业合作社    13451882399    陶象寿 
南京雨花茶有限责任公司    025-84483122    贡国华 
南京俊徽食品商贸有限公司    15951080949    汪小兵 
南京发萍畜禽养殖专业合作社    15851870200    梁发萍 
南京游子苗木有限公司    13912914014    高山 
南京逸程农林开发有限公司    13913366032    付诗诗 
南京吴胜山苗木种植专业合作社    18914790798    吴加铭 
南京久宏茶业有限公司    13851883389    徒九红 
南京市溧水区双辉果蔬专业合作社    13913369198    周双 
南京杰盛装饰工程有限公司    18662282337    向光艾 
南京杜宣勤苗木专业合作社    13814140118    杜宣勤 
南京溧水宝芝源果蔬专业合作社    13813075318    张国泳 
南京市溧水区张永康果蔬专业合作社    18118839565    张永康 
南京市溧水区魏光明果蔬专业合作社    13813924998    魏光明 
南京雅润茶业有限公司    025-56838929    芮翠娣 
南京溧水青英苗木种植专业合作社    13851531594    张爱青 
南京善源堂茶业有限公司    18251983972    魏星 
南京传中城商贸有限公司    15105189888    卢晓薇 
